1,hidrogeno,H,a1 Singular,1,1,1s1,-259.1,-252.69
2,helio,He,0 gas noble,4.003,2. 0,1s2,-272.2,-268.9
3,litio,Li,a1 alcalino,6.941,2. 1.,[H e]. 2s1,180.5,1317
4,berilio,Be,a2 alcalino-terreo,9.012,2. 2.,[H e]. 2s2,1278,2970
5,boro,B,a3 terreo,10.811,2. 3.,[H e]. 2s2. 2p1,2300,2550
6,carbono,C,a4 carbonoideo,12.011,2. 4.,[H e]. 2s2. 2p2,3550,4827
7,nitrogeno,N,a5 nitrogenoideo,14.007,2. 5.,[H e]. 2s2. 2p3,-209.9,-195.8
8,oxigeno,O,a6 anfigeno,15.999,2. 6.,[H e]. 2s2. 2p4,-218.4,-182.9
9,fluor,F,a7 halogeno,18.998,2. 7.,[H e]. 2s2. 2p5,-219.6,-188.1
10,neon,Ne,0 gas noble,20.180,2 8.,[H e]. 2s2. 2p6,-248.7,-246.1
11,sodio,Na,a1 alcalino,22.990,2 8. 1.,[N e]. 3s1,97.8,892
12,magnesio,Mg,a2 alcalino-terreo,24.305,2 8. 2.,[N e]. 3s2,648.8,1107
13,aluminio,Al,a3 terreo,26.982,2 8. 3.,[N e]. 3s2. 3p1,660.5,2467
14,silicio,Si,a4 carbonoideo,28.086,2 8. 4.,[N e]. 3s2. 3p2,1410,2355
15,fosforo,P,a5 nitrogenoideo,30.974,2 8. 5.,[N e]. 3s2. 3p3,44,280
16,azufre,S,a6 anfigeno,32.066,2 8. 6.,[N e]. 3s2. 3p4,113,444.7
17,cloro,Cl,a7 halogeno,35.453,2 8. 7.,[N e]. 3s2. 3p5,-34.6,-101
18,argon,Ar,0 gas noble,39.948,2 8. 8.,[N e]. 3s2. 3p6,-189.4,-185.9
19,potasio,K,a1 alcalino,39.098,2 8. 8; 1.,[A r]. 4s1,63.7,774
20,calcio,Ca,a2 alcalino-terreo,40.078,2 8. 8; 2.,[A r]. 4s2,839,1487
21,escandio,Sc,b3 metal de transicion,44.956,2 8. 9. 2;,[A r]. 4s2. 3d1,1539,2832
22,titanio,Ti,b4 metal de transicion,47.867,2 8. 10. 2;,[A r]. 4s2. 3d2,1660,3260
23,vanadio,V,b5 metal de transicion,50.942,2 8. 11. 2;,[A r]. 4s2. 3d3,1890,3380
24,cromo,Cr,b6 metal de transicion,51.996,2 8. 13. 1;,[A r].. 4s1.. 3d5,1857,2482
25,manganeso,Mn,b7 metal de transicion,54.938,2 8. 13; 2.,[A r]. 3d5. 4s2,1244,2097
